ma_bn,ho_ten,ngay_sinh,gioi_tinh,dia_chi,sdt,cccd,bhyt,tien_su_benh_an,di_ung_thuoc,thoi_diem_dang_ky_he_thong,lich_su_kham_benh
BN0021,Phạm Quang Vinh,1972-10-10,Nam,"167 Điện Biên Phủ, Quận Bình Thạnh, TP.HCM","0908501221","001072002121","ST990011223","Bệnh phổi tắc nghẽn mạn tính (COPD)","Salbutamol","2025-05-31 08:15:00","2025-05-28;Khám hô hấp;COPD ổn định;BS001;PK001"
BN0022,Trần Ngọc Diệp,1998-06-06,Nữ,"178 Cách Mạng Tháng Tám, Quận 10, TP.HCM","0909601222","001198002222","UV001122334","Viêm mũi dị ứng","Cetirizine","2025-05-31 08:30:00",""
BN0023,Lý Văn Toàn,1981-01-25,Nam,"189 Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, TP.HCM","0911701223","001081002323","WX112233445","Không có","Không có","2025-05-31 08:45:00","2025-05-31;Khám sức khỏe lái xe;Đủ điều kiện;BS003;PK001"
BN0024,Hoàng Minh Nguyệt,1976-08-30,Nữ,"190 Nguyễn Thị Minh Khai, Quận 1, TP.HCM","0912801224","001076002424","YZ223344556","Basedow","Propylthiouracil","2025-05-31 09:00:00","2025-05-15;Tái khám nội tiết;Chức năng tuyến giáp ổn;BS001;PK003"
BN0025,Vũ Đức Anh,1991-04-14,Nam,"201 Hai Bà Trưng, Quận 3, TP.HCM","0913901225","001191002525","AB334455667","Viêm dạ dày HP","Amoxicillin, Clarithromycin (đã dùng)","2025-05-31 09:15:00",""
BN0026,Đặng Thu Hà,1987-11-02,Nữ,"212 Lý Chính Thắng, Quận 3, TP.HCM","0918001226","001087002626","CD445566778","Rối loạn lo âu","Sertraline","2025-05-31 09:45:00","2025-05-20;Tái khám tâm lý;Ổn định;BS002;PK002"
BN0027,Bùi Minh Quân,1979-07-18,Nam,"223 Võ Thị Sáu, Quận 3, TP.HCM","0933101227","001079002727","EF556677889","Không có","Không có","2025-05-31 10:00:00",""
BN0028,Ngô Thị Bé,1994-03-28,Nữ,"234 Nguyễn Đình Chiểu, Quận 3, TP.HCM","0938201228","001194002828","GH667788990","Suy giãn tĩnh mạch chi dưới","Daflon","2025-05-31 10:30:00","2025-05-31;Khám mạch máu;Giãn tĩnh mạch độ 1;BS003;PK004"
BN0029,Hồ Văn Nam,1984-09-11,Nam,"245 Pasteur, Quận 3, TP.HCM","0977301229","001084002929","IK778899001","Không có","Không có","2025-05-31 10:45:00",""
BN0030,Dương Thị Tuyết Mai,1971-05-21,Nữ,"256 Điện Biên Phủ, Quận 3, TP.HCM","0978401230","001071003030","LM889900112","Đái tháo đường type 1","Insulin","2025-05-31 11:00:00","2025-05-22;Kiểm tra đường huyết;Điều chỉnh liều insulin;BS001;PK001"
BN0031,Lê Quang Khải,2000-10-01,Nam,"301 Tô Hiến Thành, Quận 10, TP.HCM","0902123431","079200003131","ND012345678","Viêm họng hạt","Không có","2025-05-31 09:00:15","2025-05-29;Khám TMH;Viêm họng;BS004;PK002"
BN0032,Phạm Thị Bích Thủy,1983-04-17,Nữ,"302 Sư Vạn Hạnh, Quận 10, TP.HCM","0917654332","079083003232","OD123456789","Đau nửa đầu Migraine","Paracetamol, Ibuprofen","2025-05-31 09:15:15",""
BN0033,Hoàng Văn Long,1977-11-28,Nam,"303 Lý Thái Tổ, Quận 10, TP.HCM","0986547833","079077003333","PD234567890","Mỡ máu cao","Atorvastatin","2025-05-31 09:30:15","2025-05-15;Xét nghiệm mỡ máu;Chỉ số cải thiện;BS001;PK001"
BN0034,Vũ Ngọc Anh,1995-02-03,Nữ,"304 Ba Tháng Hai, Quận 10, TP.HCM","0938765134","079195003434","QD345678901","Không có","Không có","2025-05-31 09:45:15",""
BN0035,Đặng Minh Đức,1989-08-12,Nam,"305 Thành Thái, Quận 10, TP.HCM","0903214535","079089003535","RD456789012","Viêm da cơ địa","Kem bôi Corticoid","2025-05-31 10:00:15","2025-05-31;Tái khám da liễu;Da đỡ hơn;BS005;PK004"
BN0036,Bùi Thúy Quỳnh,1974-06-20,Nữ,"306 Cách Mạng Tháng Tám, Quận Tân Bình, TP.HCM","0918763436","079074003636","SD567890123","Suy tim","Digoxin, Furosemide","2025-05-31 10:15:15","2025-05-20;Khám tim mạch;Tim ổn định;BS001;PK003"
BN0037,Ngô Hoàng Phi,1992-01-07,Nam,"307 Hoàng Văn Thụ, Quận Tân Bình, TP.HCM","0987651237","079192003737","TD678901234","Không có","Không có","2025-05-31 10:30:15",""
BN0038,Hồ Diễm My,1980-07-14,Nữ,"308 Trường Chinh, Quận Tân Bình, TP.HCM","0908763238","079080003838","UD789012345","Viêm khớp gối","Glucosamine","2025-05-31 10:45:15",""
BN0039,Dương Quốc Bảo,1997-03-25,Nam,"309 Cộng Hòa, Quận Tân Bình, TP.HCM","0933217639","079197003939","VD890123456","Không có","Không có","2025-05-31 11:00:15","2025-05-31;Khám sức khỏe định kỳ;Bình thường;BS002;PK001"
BN0040,Lý Gia Hân,1986-09-02,Nữ,"310 Âu Cơ, Quận Tân Bình, TP.HCM","0977654140","079086004040","WD901234567","Hen phế quản","Thuốc xịt Ventolin","2025-05-31 11:15:15","2025-05-18;Khám hô hấp;Ổn định;BS004;PK002"
BN0041,Trương Tuấn Kiệt,1973-04-08,Nam,"401 Nguyễn Kiệm, Quận Gò Vấp, TP.HCM","0902112241","079073004141","XE012345678","Tiểu đường tuýp 2","Metformin","2025-05-31 11:30:15",""
BN0042,Đinh Bảo Châu,1990-10-16,Nữ,"402 Quang Trung, Quận Gò Vấp, TP.HCM","0917665542","079190004242","YF123456789","Không có","Không có","2025-05-31 11:45:15",""
BN0043,Phan Anh Vũ,1985-01-23,Nam,"403 Phan Văn Trị, Quận Gò Vấp, TP.HCM","0986554443","079085004343","ZG234567890","Viêm gan C","Sofosbuvir (đã điều trị)","2025-05-31 12:00:15","2025-03-10;Xét nghiệm HCV RNA;Âm tính;BS001;PK001"
BN0044,Hoàng Kiều Trang,1978-07-01,Nữ,"404 Thống Nhất, Quận Gò Vấp, TP.HCM","0938776644","079078004444","AH345678901","U nang buồng trứng","Không có","2025-05-31 12:15:15","2025-04-05;Siêu âm;Theo dõi định kỳ;BS006;PK005"
BN0045,Võ Minh Huy,1993-11-09,Nam,"405 Lê Đức Thọ, Quận Gò Vấp, TP.HCM","0903221145","079193004545","BH456789012","Không có","Không có","2025-05-31 12:30:15",""
BN0046,Đỗ Ngọc Mai,1988-02-15,Nữ,"10 Lý Tự Trọng, Quận Ninh Kiều, Cần Thơ","0918772246","092088004646","CH567890123","Viêm khớp","Celecoxib","2025-05-31 12:45:15",""
BN0047,Nguyễn Văn Nam,1975-08-22,Nam,"25 Trần Hưng Đạo, Quận Ninh Kiều, Cần Thơ","0987663347","092075004747","DH678901234","Tăng huyết áp","Amlodipin","2025-05-31 13:00:15","2025-05-20;Đo huyết áp;130/80 mmHg;BS001;PK001"
BN0048,Lê Thị Thu,1996-05-01,Nữ,"35 Hòa Bình, Quận Ninh Kiều, Cần Thơ","0933224448","092196004848","EH789012345","Không có","Không có","2025-05-31 13:15:15",""
BN0049,Phạm Hoàng Phúc,1982-12-10,Nam,"45 Nguyễn Trãi, Quận Cái Răng, Cần Thơ","0908775549","092082004949","FH890123456","Đau lưng mạn tính","Vật lý trị liệu","2025-05-31 13:30:15",""
BN0050,Trần Bảo Ngọc,1991-03-18,Nữ,"55 Mậu Thân, Quận Ninh Kiều, Cần Thơ","0977668850","092191005050","GH901234567","Rối loạn giấc ngủ","Melatonin","2025-05-31 13:45:15","2025-05-25;Khám tâm lý;Cải thiện giấc ngủ;BS002;PK002"
